# ffraud fraudulent networks. Small/medium ASNs where the IPs we OBSERVED were
# overwhelmingly abusive AND proxy/VPN. This reflects observed traffic, not a legal
# judgment of the operator. Corrections: https://ffraud.com/report . No sources named.
asn,organization,ips_observed,abuse_rate_pct,proxy_rate_pct,ffraud_risk_score
396919,Shadow,385,99.5,95.6,100
48683,Bilink LLC,1162,99.9,95.5,100
43764,LLC Electron-sevlush,1851,99.6,95.5,100
47204,MCS LLC,512,99.6,95.5,100
28972,M-SOFT  spol. s r.o.,267,99.3,95.5,100
196767,INMART.UA LLC,2257,99.7,95.5,100
270320,X NET,351,97.2,95.4,100
56876,Ociris GmbH,217,99.5,95.4,100
39488,Kleynkom LLC,238,99.6,95.4,100
42714,Kichkas Network Ltd.,513,99.0,95.3,100
49814,TomGate LLC,583,99.8,95.2,100
41302,KVS Ltd,995,99.7,95.2,100
266852,SOCIEDAD PIRQUE NET LIMITADA,206,99.5,95.1,100
16178,Logosoft   information engineering and Internet providing,1171,99.8,95.1,100
43273,Optik Line LLC,754,99.9,95.1,100
48437,PP Merezha,2922,99.4,95.0,100
200302,VISP LLC,201,100.0,95.0,100
209835,Despliegue de Redes de Telecomunicaciones S.L.,540,97.6,95.0,100
34241,New Communication Technologies LLC,279,100.0,95.0,100
48573,PHAETON PLUS d.o.o,475,98.1,94.9,100
19211,HostingYard LLC,552,99.5,94.9,100
47193,LAN-Optic  Ltd,1049,99.6,94.9,100
50289,Limited Liability Company WELLCOM-L,1320,99.8,94.8,100
48614,ITSOFT LLC,579,100.0,94.8,100
51522,ONLINE LLC,1473,99.8,94.8,100
35000,JSC Severen-Telecom,593,99.3,94.8,100
6789,CRELCOM LLC,4411,99.8,94.8,100
214268,ORANGE LLC,665,99.8,94.7,100
48763,LLC SMART CENTER,284,99.6,94.7,100
56340,Grand Ltd,1986,93.8,94.7,100
44030,OtradnoeNet Ltd.,435,98.9,94.7,100
28111,Grupo Solunet SRL,1929,99.1,94.6,100
29319,Informational-measuring systems Ltd.,422,98.8,94.5,100
273904,AM. CONNECTIONS  C.A.,237,97.5,94.5,100
57332,TOM-NET s.c. Dariusz Koper  Radoslaw Koper,218,99.5,94.5,100
33991,Igra-Service LLC,2699,98.0,94.5,100
42965,net services Beteiligungsgesellschaft mbH trading as net services GmbH & Co. KG,646,98.8,94.4,100
44124,Rybnet Sp. z o.o. Sp. k.,214,100.0,94.4,100
56503,PJSC Badr Rayan Jonoob,836,99.3,94.4,100
10474,Dimension Data,1565,99.9,94.4,100
60931,LAN-Service Ltd.,723,100.0,94.3,100
3741,Dimension Data,5353,99.7,94.3,100
267401,MAGIC WINDOWS LTDA,226,99.1,94.2,100
38690,HyosungITX,642,99.7,94.2,100
50495,web2objects GmbH,1887,96.6,94.2,100
198968,Cyberneticos Hosting SL,346,95.1,94.2,100
37549,Triponza Trading 376 CC,397,100.0,94.2,100
203964,4Tel Telekomunikacije d.o.o.,1134,91.2,94.2,100
8641,LLC Nauka-Svyaz,770,99.7,94.2,100
25133,LLC McLaut-Invest,12540,99.5,94.1,100
48278,UKRDATAKOM LTD,287,100.0,94.1,100
12406,Business Network Ltd,2227,99.2,94.0,100
213694,INLAN LLC,200,98.5,94.0,100
41268,Sesameware FZ-LLC,2032,99.0,94.0,100
50126,OOO Teleservis,247,98.4,93.9,100
39089,STATE UNITARY ENTERPRISE OF THE DONETSK PEOPLE'S REPUBLIC UGLETELECOM,213,99.5,93.9,100
208142,LLC Rocket Telecom,442,96.8,93.9,100
37110,Moztel LDA,360,99.4,93.9,100
44375,Asmanfaraz Sepahan Company (P.J.S),539,100.0,93.9,100
196865,Aircomm S.r.L.,762,99.3,93.8,100
263351,MICRON SERVICOS DE TECNOLOGIA EIRELI,372,98.1,93.8,100
34549,meerfarbig GmbH & Co. KG,291,99.3,93.8,100
15683,AS6723 LIMITED LIABILITY COMPANY,370,100.0,93.8,100
265642,INETAMERICAS COMUNICACIONES LIMITADA,335,99.7,93.7,100
131607,Digidom CableTV Co.  LTD.,319,100.0,93.7,100
214238,HOST TELECOM LTD,287,100.0,93.7,100
35773,iConnect Ltd.,239,98.7,93.7,100
149428,Code200  UAB,649,98.3,93.7,100
29190,MTS PJSC,1186,99.2,93.7,100
393942,WiredISP Inc.,284,100.0,93.7,100
34758,Axera SpA,772,100.0,93.7,100
53138,Conectlan Internet Ltda,283,98.2,93.6,100
62206,Pitline Ltd,314,99.0,93.6,100
37236,Reflex Solutions,251,98.8,93.6,100
397006,Mullcloud LLC,516,100.0,93.6,100
51369,LLC TRC FIORD,2207,99.3,93.6,100
216138,SKYQUANTUM TELECOM LTD.,202,99.0,93.6,100
44656,2provide GmbH,664,98.5,93.5,100
42498,Gerkon LTD,308,99.0,93.5,100
206388,Gostaresh Ertebat Azin Kia Company PJSC,431,99.8,93.5,100
197793,Gigabit LLC,338,97.9,93.5,100
197738,PP Zastava Plus,384,98.7,93.5,100
48433,Omiplat LLC,230,99.1,93.5,100
263042,DELTA TELECOM,460,98.9,93.5,100
56268,Northeast Dataa Network Pvt Ltd,902,99.7,93.5,100
200525,Hosting Ukraine LTD,380,90.5,93.4,100
59847,WIRAC.NET d.o.o.,713,99.0,93.4,100
26658,HT,5042,94.8,93.4,100
33923,ART-COM Sp. z o.o.,241,99.6,93.4,100
61367,TOO B-TEL,1199,99.8,93.2,100
400402,Hosting Bot  LLC,222,99.5,93.2,100
59584,INDIKOM LLC,325,99.1,93.2,100
198380,BLUNOVA S.R.L.,398,99.5,93.2,100
269357,DELTA TELECOM,349,98.6,93.1,100
8251,FreeTel  s.r.o.,388,99.2,93.0,100
205964,UAB code200,1471,96.3,93.0,100
45177,Devoli LTD,1039,98.5,93.0,100
15377,TRADITIONAL LLC,9268,99.1,93.0,100
262259,StarNetworks,623,99.7,92.9,100
203877,ASTRA TELEKOM DOO BEOGRAD,784,99.0,92.9,100
39577,Goodnet LLC,557,99.1,92.8,100
28917,Fiord Networks  UAB,319,96.9,92.8,100
210135,Yug-Telecom-K Ltd.,588,99.3,92.7,100
398465,Rackdog  LLC,805,99.8,92.7,100
202496,trafficforce  UAB,1787,96.3,92.7,100
212372,COOLNET LLC,313,97.4,92.7,100
197175,Albina Anatoljevna Kolesnik  PE,203,100.0,92.6,100
211057,Astra for Telecommunication and IT Services,499,99.4,92.6,100
48166,FORTEX CJSC,983,99.9,92.6,100
263947,VirtualSpace Telecom,308,99.4,92.5,100
36180,Cisco IoT,319,98.7,92.5,100
263372,RODRIGUES & SARMENTO LTDA,252,98.0,92.5,100
37697,WEBMASTERS  LDA.,236,100.0,92.4,100
37353,Seacom Western Cape (Pty) Ltd,275,97.5,92.4,100
35530,Proline TM Ltd.,221,99.5,92.3,100
274191,CUSATO VICENTE EZEQUIEL (TELERED VGG),207,97.1,92.3,100
142387,PT Integrasi Jaringan Ekosistem,399,96.7,92.2,100
329225,Lexistar Alliance Ltd.,487,93.0,92.2,100
39256,FANNET TELECOM LLC,649,99.5,92.1,100
61702,DELTA TELECOM,216,97.7,92.1,100
201826,LLC eratelecom company,278,99.3,92.1,100
35319,ALTAIR MEGA LLC,490,100.0,92.0,100
31543,myNet GmbH,314,100.0,92.0,100
214695,diamondipbrokers DIAMOND IP BROKERS FZCO,527,100.0,92.0,100
7871,SEI Data  Inc.,975,99.5,92.0,100
10753,Level 3 Communications  Inc.,2584,91.7,91.9,100
53003,EVOLUNET PROVEDORA DE INTERNET LTDA PE,639,99.1,91.9,100
149877,PT Integrasi Jaringan Ekosistem,926,96.0,91.8,100
214483,FiberPower LLC,2545,99.7,91.8,100
58347,AiK LLC,1010,98.3,91.8,100
263769,ByteSolution S.A. (WispSolution Internet),229,99.6,91.7,100
20326,TeraSwitch Networks Inc.,2603,99.3,91.7,100
41881,Fanava Group,1452,99.0,91.6,100
34081,INCUBATEC GmbH - Srl,1755,97.6,91.6,100
328068,Beginning 2 End Technologies,331,100.0,91.5,100
17497,liasail global hongkong limited,19233,98.9,91.5,100
269597,STALKER ENGENHARIA EIRELI,659,95.9,91.5,100
48300,Pipe Networks LLC,208,100.0,91.3,100
50463,Triple C Cloud Computing Ltd.,885,99.4,91.3,100
63737,VIETSERVER SERVICES TECHNOLOGY COMPANY LIMITED,4323,99.6,91.3,100
39308,ANDISHE SABZ KHAZAR CO. P.J.S.,606,100.0,91.3,100
37239,ICTGlobe Management (Pty) Ltd,217,99.1,91.2,100
61121,AO Teleradiocompany Odintsovo,306,98.4,91.2,100
135097,LUOGELANG (FRANCE) LIMITED,1720,97.8,91.2,100
64445,Michele Pietravalle trading as NetJoin,2405,96.4,91.1,100
152672,Aiyun (HK) Network,588,99.5,91.0,100
60246,Consumer Internet Cooperative PG-19,1915,95.7,90.9,100
133944,Tesonet  UAB,1846,94.5,90.8,100
25668,Cipherkey Exchange Corp.,1185,99.9,90.7,100
49461,PP Podilsky Intelectualni sistemy,580,98.4,90.7,100
57354,SYSTEMA Ltd,332,96.4,90.7,100
17878,DREAMMARK1,447,100.0,90.6,100
17809,VEE TIME CORP.,4000,100.0,90.6,100
202282,FIBRUS NETWORKS LTD,2069,97.5,90.5,100
269494,GPR NET COMUNICACOES EIRELI,230,97.4,90.4,100
134351,Leaseweb Japan K.K.,2282,95.1,90.4,100
263543,Butzen e Mentges Ltda,280,98.9,90.4,100
263427,Carlos Henrique Santos de Oliveira ME,258,96.5,90.3,100
214996,netcup GmbH,1885,99.6,90.3,100
34867,Cosmonova LLC,658,98.8,90.3,100
214716,WEYRO LTD,297,99.3,90.2,100
208803,ACN LLC,215,100.0,90.2,100
54252,Sprious LLC,286,92.7,90.2,100
41985,Stargroup LLC,447,98.4,90.2,100
35320,Eurotranstelecom Ltd,861,99.1,90.1,100
273091,GRUPO INAN SPA,1433,95.9,90.1,100
214721,STATE UNITARY ENTERPRISE OF THE DONETSK PEOPLE'S REPUBLIC REPUBLICAN TELECOMMU,272,98.5,90.1,100
6846,Joint Ukrainan-German Enterprise INFOCOM LLC,322,99.7,90.1,100
140457,PT Ikhlas Cipta Teknologi,402,95.5,90.0,100
44387,PE Radashevsky Sergiy Oleksandrovich,221,100.0,90.0,100
263812,SONDATECH S.A.S.,1472,92.2,90.0,100
48830,TransEuroCom LLC,318,99.7,89.9,100
48955,Internet Resources Management SRL,2652,95.5,89.8,100
31287,IPACCT CABLE Ltd,265,99.2,89.8,100
209219,LLC Daginfonet,206,99.0,89.8,100
22552,eSited Solutions,7295,96.2,89.8,100
207645,F & W Networks Ltd,427,98.4,89.7,100
206715,UXHOST LTD,261,98.5,89.7,100
37605,General Telecommunication Networks (NIG) Limited,259,98.5,89.6,100
23114,Critical Hub Networks,297,99.0,89.6,100
17539,Netsol Connect (Pvt) Limited,581,99.0,89.5,100
213896,UAB Cherry Servers,255,99.6,89.4,100
57982,AMIK LLC,226,99.1,89.4,100
34515,Next Net for Internet and IT Services LTD,320,98.1,89.4,100
39501,Parvaresh Dadeha Co. Private Joint Stock,2327,100.0,89.3,100
38031,OptiMax Communication Ltd,352,100.0,89.2,100
49749,VostokMediaSvyaz Ltd.,314,99.0,89.2,100
50049,RedSwitches Pty LTD.,387,97.7,89.1,100
132817,DZCRD Networks Ltd,1442,98.9,89.0,100
30936,RENET COM Ltd.,228,100.0,89.0,100
49592,Pipe Networks LTD,255,100.0,89.0,100
196750,SETI WEBA LTD,273,99.3,89.0,100
62160,WEB3 Leaders INC,1391,93.3,89.0,100
58289,Kazakhstan Network Communication LLP,227,99.1,89.0,100
48330,FOP Sinev Maksim Viktorovich,2684,99.9,89.0,100
44050,Petersburg Internet Network ltd.,514,100.0,88.9,100
24441,CityLink Corporation  LTD,250,98.8,88.8,100
202736,WISDOM CLOUD INTERNET TECHNOLOGY PTE. LTD.,739,94.0,88.8,100
62838,Reprise Hosting,203,99.0,88.7,100
135772,Powernet,384,98.7,88.5,100
137952,ANGKOR E & C (CAMBODIA) Co. Ltd.,244,91.4,88.5,100
136319,Acebrowse Private Ltd,235,99.6,88.5,100
50949,Agronet LLC,426,98.4,88.5,100
204108,S.U.E. DPR Republic Operator of Networks,439,98.6,88.4,100
37100,SEACOM Limited,870,98.9,88.3,100
202759,RJ Network OU,1014,99.0,88.3,100
210874,Box Broadband Limited,383,99.2,88.3,100
208677,Cloud Technologies LLC trading as Cloud.ru,2660,99.7,88.2,100
62164,Heymman Servers Corporation,790,99.9,88.2,100
214143,SKYDIGITAL TELECOM LTD,1924,95.5,88.2,100
205352,KABELNET LTD,338,100.0,88.2,100
47172,Greenhost BV,471,98.9,88.1,100
29107,Synapse Network LTD,597,99.5,88.1,100
328608,Africa on Cloud,4478,98.6,88.0,100
64200,VIVID-HOSTING LLC,491,98.0,87.8,100
12494,OOO Post ltd,1283,99.6,87.8,100
8399,SEWAN SAS,523,100.0,87.8,100
47553,Misaka Network  Inc.,390,97.9,87.7,100
271023,TERA SOLUCOES,493,98.4,87.6,100
42532,SIA VEESP,1595,99.3,87.6,100
18046,DongFong Technology Co. Ltd.,378,99.5,87.6,100
17551,ANYCAST HOLDINGS PTY LTD,224,96.9,87.5,100
53225,IPGLOBE INTERNET LTDA,431,97.7,87.5,100
47764,LLC VK,2111,99.8,87.4,100
35004,Branch Enterprise Netgroup-Service,308,99.0,87.3,100
272134,POWER LINK CORP  C.A.,244,95.5,87.3,100
28135,ASSOCIACAO NACIONAL PARA INCLUSAO DIGITAL - ANID,541,100.0,87.2,100
202656,Ivanov Vitaliy Sergeevich,5130,97.4,87.2,100
20135,Millennium Telcom LLC,242,97.9,87.2,100
48359,Hesabgar Pardaz Gharb PJSC,693,99.9,87.2,100
35106,Microsoft Limited,232,99.1,87.1,100
209828,Genc BT Bilisim Teknolojileri Limited Sirketi,324,100.0,87.0,100
38067,Radiant Communications Ltd,616,97.7,87.0,100
17563,NEXLINX,431,99.8,87.0,100
328029,Web Telecom Services (PTY) Ltd,1263,91.1,86.9,100
134021,Airgenie Communications Private Limited,306,100.0,86.9,100
14361,HopOne Internet Corporation,382,100.0,86.9,100
402169,Uscloud Inc,1394,98.1,86.9,100
48882,Optima-Shid LLC,802,99.6,86.8,100
13194,UAB Bite Lietuva,2398,97.8,86.8,100
30900,Sternforth Ltd. trading as WebWorld,1587,93.0,86.8,100
202492,SILVERHILL GROUP HOLDING LTD,820,98.8,86.7,100
7522,STNet  Incorporated,473,99.8,86.7,100
398113,Gateway Fiber LLC,352,99.4,86.6,100
2586,Elisa Eesti AS,1106,100.0,86.6,100
49345,BEEONLINE OJSC,620,98.4,86.6,100
29582,Optisprint OOD,550,100.0,86.5,100
200203,EASY HOSTER LIMITED,245,95.1,86.5,100
207830,LIMNET   LLC,363,99.2,86.5,100
20539,Technical Centre Radio Systems Ltd.,332,100.0,86.4,100
20853,eTOP sp. z o.o.,1673,94.4,86.4,100
199081,Lancom Ltd.,543,95.9,86.4,100
132934,Skymax Broadband Services Pvt. Ltd.,871,99.1,86.3,100
2907,Research Organization of Information and Systems  National Institute of Informa,402,92.8,86.3,100
214790,Brainoza OU,334,99.1,86.2,100
200446,SELNET LLC,3620,98.6,86.2,100
34876,SMART SISTEMZ TECHNOLOJI MMM,389,99.5,86.1,100
35362,LIMITED LIABILITY COMPANY BEST SOLUTIONS,1283,97.4,86.0,100
201525,HZ Hosting Ltd,401,96.8,86.0,100
28110,NAVEGALO S.A.,406,96.1,86.0,100
55201,SkyQuantum Internet Service,998,90.4,85.9,100
7377,University of California  San Diego,368,92.4,85.9,100
12737,KrasPromStroy  LLC,515,98.1,85.8,100
49770,Internetport Sweden AB,1519,95.6,85.7,100
39493,CJSC Kolomna-Sviaz TV,3861,99.6,85.7,100
135223,Netway Internet Pvt Ltd,493,99.8,85.6,100
35104,Jusan Mobile JSC,1323,98.7,85.6,100
8053,IFX Networks Venezuela C.A.,830,95.9,85.5,100
199636,Free Pro SAS,712,99.3,85.5,100
207513,LLC HOSTOFF CSL,428,99.5,85.3,100
44133,IPAX GmbH,606,96.2,85.1,100
214159,UAB Cherry Servers,343,98.0,85.1,100
400463,DynaNode LLC,13722,98.4,85.1,100
401322,NetO Corp,214,99.5,85.0,100
141642,PT Ring Media Nusantara,259,91.5,84.9,100
42065,Global Network Management Inc,789,97.6,84.9,100
139880,OWGELS INTERNATIONAL CO.  LIMITED,278,96.0,84.9,100
48176,MTS PJSC,585,99.1,84.8,100
270358,FUSION TELECOM,203,99.5,84.7,100
201884,ISP SUPPORT LLC,294,97.6,84.7,100
9063,VSE NET GmbH,731,98.5,84.7,100
39647,Enreach Netherlands B.V.,326,95.7,84.7,100
52873,Softdados Telecomunicacoes,208,98.6,84.6,100
29752,Zenlayer Inc,260,96.5,84.6,100
44927,LLC Telecom MPK,253,98.0,84.6,100
133680,SOFTECH INFOSOL PVT. LTD.,417,99.3,84.4,100
55701,PT. Usaha Adisanggoro,641,96.1,84.4,100
834,IPXO LLC,976,98.2,84.3,100
205516,NLS ASTANA LLP,496,99.2,84.3,100
202468,Noyan Abr Arvan Co. ( Private Joint Stock),3959,99.5,84.2,100
13886,Cloud South,902,99.9,84.1,100
202423,Tyurin Viktor Mihaylovich,233,100.0,84.1,100
61163,Global Technologies of Ukraine LLC,243,98.4,84.0,100
199653,Aruba S.p.A.,224,99.6,83.9,100
198037,SPACECORE SOLUTION LTD,205,99.0,83.9,100
133001,Airnet Cable And Datacom Pvt Ltd,735,99.7,83.8,100
266831,MONGELOS ARCE MARCIAL(DELTA NETWORKS),228,98.2,83.8,100
18059,DTPNET NAP,203,99.0,83.7,100
149107,TRUMVPS COMPANY LIMITED,417,99.0,83.7,100
38026,MetroNet Bangladesh Limited,208,97.6,83.7,100
211407,PT Perwira Media Solusi,238,93.7,83.6,100
154321,CORENET CLOUD SDN. BHD.,1308,99.9,83.6,100
215373,Sabiedriba ar ierobezotu atbildibu DELSKA Latvia,249,98.4,83.5,100
39869,Livenet Sp. z o.o.,223,100.0,83.4,100
134375,Fusionnet Web Services Private Limited,3330,98.4,83.4,100
210616,SM Ltd.,1204,97.9,83.3,100
24282,KAGOYA JAPAN Inc.,615,99.3,83.3,100
18747,IFX Corporation,698,98.3,83.2,100
19437,SECURED SERVERS LLC,381,96.6,83.2,100
397630,Blazing SEO  LLC,2190,95.3,83.1,100
329618,Mpaps Internet Solution Limited,290,93.1,83.1,100
48940,Link Ltd.,260,100.0,83.1,100
204491,TEKNOSOS LLC,502,100.0,83.1,100
198537,Kamil Turon trading as KAMNET,598,100.0,82.9,100
30860,Virtual Systems LLC,3044,94.6,82.9,100
137331,PT Cloud Teknologi Nusantara,210,96.7,82.9,100
55352,Microscan Internet Limited,2334,99.3,82.7,100
47692,Nessus GmbH,601,93.8,82.7,100
18024,Bhutan Telecom Ltd,212,98.1,82.5,100
138886,PT Data Buana Nusantara,716,96.1,82.5,100
135003,Multan Cable & Internet Services (Pvt) Ltd,286,99.7,82.5,100
264617,GRUPO PANAGLOBAL 15 S.A,1041,92.7,82.5,100
57724,DDOS-GUARD LTD,651,99.5,82.5,100
150027,Auriganet Digital Technologies Private Limited,467,99.1,82.4,100
47007,Colocation America Corporation,3101,95.0,82.4,100
207223,Global Connections Network LLC,495,100.0,82.4,100
32043,NeoFiber Communications inc.,573,90.9,82.4,100
270207,MULTICARRIER JE S. DE R.L. DE C.V.,385,94.5,82.3,100
41111,FAST GEO HOSTING S.R.L.,447,98.7,82.3,100
328987,Lime Emerging Solutions Limited,335,93.7,82.1,100
133720,Zess Networks Private Limited,935,98.9,82.0,100
196695,NetOne Rus JSC,271,100.0,81.9,100
984,OCTOPUS WEB SOLUTION INC,13465,91.6,81.9,100
201211,LLC Tvoi Telecom,282,99.6,81.9,100
31404,LYCATEL DISTRIBUTION UK LIMITED,766,97.0,81.9,100
25288,DEMENIN B.V.,252,99.6,81.7,100
6849,JSC Ukrtelecom,10072,99.7,81.7,100
7497,CNIC-CAS,663,98.6,81.4,100
263949,Mega Internet LTDA ME,316,98.4,81.3,100
271899,GIGAPOP  C.A.,556,98.4,81.3,100
216253,Interhive OU,673,96.9,81.3,100
216071,SERVERS TECH FZCO,12129,99.3,81.2,100
272809,THUNDERNET  C.A.,9862,98.3,81.1,100
216475,NKtelecom INC,389,99.5,81.0,100
202036,EXTREME COMMUNICATIONS TECHNOLOGY LIMITED,294,93.5,81.0,100
216416,Evolus IT Solutions GmbH,764,99.5,80.9,100
57169,EDIS GmbH,2802,96.7,80.7,100
34989,ServeTheWorld AS,905,98.8,80.6,100
197450,Sunucun Bilgi Iletisim Teknolojileri ve Ticaret Ltd. Sti.,1373,95.0,80.5,100
41745,Baykov Ilya Sergeevich,6895,94.5,80.3,100
140607,Sign In (PVT) LTD,237,97.5,80.2,100
47474,Virtual1 Limited,256,96.5,80.1,100
136308,Deenet Networks Private Limited,325,97.5,80.0,100
264872,Brothers Lan House Ltda Me,404,96.0,80.0,100
197574,ExpressHost Ltd,229,100.0,79.9,100
208397,INFOSTROY LLC,526,100.0,79.8,100
40994,Hohl IT e.U.,243,100.0,79.8,100
24875,NovoServe B.V.,416,98.1,79.8,100
37484,Lasernet (Pty) Ltd,306,99.3,79.7,100
37347,NGCOM,500,99.6,79.6,100
136030,Redtone Telecommunications Pakistan (Private) Limited,278,99.3,79.5,100
150820,LIENVPS TECHNOLOGY COMPANY LIMITED,429,100.0,79.5,100
29852,Honest Networks  LLC,268,99.3,79.5,100
271922,LEIRIA HUGO LEANDRO (GEO FIBER),287,96.9,79.4,100
35297,Dataline LLC,904,98.8,79.4,100
